"","Station","Stratum","Stratum2","Year","Date","DateTime","Taxon","Genus","Species","AlgalType","Count","OrganismsPerMl"
"16","C9","Southern Delta","South Delta",2022,2022-06-20,NA,"Plagioselmis nannoplanctica","Plagioselmis","nannoplanctica","Cryptophyte",4,146.02198517279
"17","C9","Southern Delta","South Delta",2022,2022-06-20,NA,"Teleaulax amphioxeia","Teleaulax","amphioxeia","Cryptophyte",9,328.549466638778
"18","C9","Southern Delta","South Delta",2022,2022-06-20,NA,"cf. Aphanocapsa sp.","Aphanocapsa","sp.","Cyanobacterium",1,36.5054962931976
"19","C9","Southern Delta","South Delta",2022,2022-06-20,NA,"Eucapsis microscopica","Eucapsis","microscopica","Cyanobacterium",170,6205.93436984359
"20","C9","Southern Delta","South Delta",2022,2022-06-20,NA,"Microcystis sp.","Microcystis","sp.","Cyanobacterium",1,36.5054962931976
"21","C9","Southern Delta","South Delta",2022,2022-06-20,NA,"Planktolyngbya sp.","Planktolyngbya","sp.","Cyanobacterium",1,36.5054962931976
"22","D19","Franks Tract","Franks",2022,2022-06-21,NA,"Cocconeis placentula","Cocconeis","placentula","Pennate Diatom",3,49.4590594940097
"23","D19","Franks Tract","Franks",2022,2022-06-21,NA,"Cyclotella sp.","Cyclotella","sp.","Centric Diatom",25,412.158829116747
"24","D19","Franks Tract","Franks",2022,2022-06-21,NA,"Nitzschia sp.","Nitzschia","sp.","Pennate Diatom",2,32.9727063293398
"25","D19","Franks Tract","Franks",2022,2022-06-21,NA,"Drepanochloris nannoselene","Drepanochloris","nannoselene","Green Alga",7,115.404472152689
"26","D19","Franks Tract","Franks",2022,2022-06-21,NA,"Lagerheimia genevensis","Lagerheimia","genevensis","Green Alga",4,65.9454126586796
"27","D19","Franks Tract","Franks",2022,2022-06-21,NA,"Monoraphidium minutum","Monoraphidium","minutum","Green Alga",17,280.268003799388
"28","D19","Franks Tract","Franks",2022,2022-06-21,NA,"cf. Ochromonas sp.","Ochromonas","sp.","Chrysophyte",3,49.4590594940097
"29","D19","Franks Tract","Franks",2022,2022-06-21,NA,"Plagioselmis nannoplanctica","Plagioselmis","nannoplanctica","Cryptophyte",25,412.158829116747
"30","D19","Franks Tract","Franks",2022,2022-06-21,NA,"Teleaulax amphioxeia","Teleaulax","amphioxeia","Cryptophyte",29,478.104241775427
"31","D19","Franks Tract","Franks",2022,2022-06-21,NA,"Eucapsis microscopica","Eucapsis","microscopica","Cyanobacterium",320,5275.63301269436
"32","D16","Lower San Joaquin","Lower SJ",2022,2022-06-21,NA,"Cyclotella sp.","Cyclotella","sp.","Centric Diatom",24,685.668452115712
"33","D16","Lower San Joaquin","Lower SJ",2022,2022-06-21,NA,"Nitzschia sp.","Nitzschia","sp.","Pennate Diatom",5,142.847594190773
"34","D16","Lower San Joaquin","Lower SJ",2022,2022-06-21,NA,"Chlamydomonas sp.","Chlamydomonas","sp.","Green Alga",1,28.5695188381547
"35","D16","Lower San Joaquin","Lower SJ",2022,2022-06-21,NA,"Chlorella sp.","Chlorella","sp.","Green Alga",3,85.708556514464
"36","D16","Lower San Joaquin","Lower SJ",2022,2022-06-21,NA,"Monoraphidium minutum","Monoraphidium","minutum","Green Alga",6,171.417113028928
"37","D16","Lower San Joaquin","Lower SJ",2022,2022-06-21,NA,"Chrysochromulina sp.","Chrysochromulina","sp.","Haptophyte",1,28.5695188381547
"38","D16","Lower San Joaquin","Lower SJ",2022,2022-06-21,NA,"Cryptomonas sp.","Cryptomonas","sp.","Cryptophyte",1,28.5695188381547
"39","D16","Lower San Joaquin","Lower SJ",2022,2022-06-21,NA,"Plagioselmis nannoplanctica","Plagioselmis","nannoplanctica","Cryptophyte",23,657.098933277557
"40","D16","Lower San Joaquin","Lower SJ",2022,2022-06-21,NA,"Teleaulax amphioxeia","Teleaulax","amphioxeia","Cryptophyte",11,314.264707219701
"41","D16","Lower San Joaquin","Lower SJ",2022,2022-06-21,NA,"Eucapsis microscopica","Eucapsis","microscopica","Cyanobacterium",325,9285.09362240026
"42","D16","Lower San Joaquin","Lower SJ",2022,2022-06-21,NA,"cf. Microcystis sp.","Microcystis","sp.","Cyanobacterium",1,28.5695188381547
"43","D28A","Old and Middle river","OMR",2022,2022-06-21,NA,"Cocconeis placentula","Cocconeis","placentula","Pennate Diatom",3,78.4038499933449
"44","D28A","Old and Middle river","OMR",2022,2022-06-21,NA,"Cyclotella sp.","Cyclotella","sp.","Centric Diatom",26,679.500033275656
"45","D28A","Old and Middle river","OMR",2022,2022-06-21,NA,"cf. Nitzschia sp.","Nitzschia","sp.","Pennate Diatom",1,26.1346166644483
"46","D28A","Old and Middle river","OMR",2022,2022-06-21,NA,"Nitzschia sp.","Nitzschia","sp.","Pennate Diatom",1,26.1346166644483
"47","D28A","Old and Middle river","OMR",2022,2022-06-21,NA,"cf. Chlorella sp.","Chlorella","sp.","Green Alga",10,261.346166644483
"48","D28A","Old and Middle river","OMR",2022,2022-06-21,NA,"Drepanochloris nannoselene","Drepanochloris","nannoselene","Green Alga",11,287.480783308931
"49","D28A","Old and Middle river","OMR",2022,2022-06-21,NA,"Monoraphidium contortum","Monoraphidium","contortum","Green Alga",1,26.1346166644483
"50","D28A","Old and Middle river","OMR",2022,2022-06-21,NA,"Monoraphidium minutum","Monoraphidium","minutum","Green Alga",3,78.4038499933449
"51","D28A","Old and Middle river","OMR",2022,2022-06-21,NA,"Cryptomonas sp.","Cryptomonas","sp.","Cryptophyte",2,52.2692333288966
"52","D28A","Old and Middle river","OMR",2022,2022-06-21,NA,"Plagioselmis nannoplanctica","Plagioselmis","nannoplanctica","Cryptophyte",28,731.769266604552
"53","D28A","Old and Middle river","OMR",2022,2022-06-21,NA,"Teleaulax amphioxeia","Teleaulax","amphioxeia","Cryptophyte",30,784.038499933449
"54","D28A","Old and Middle river","OMR",2022,2022-06-21,NA,"Eucapsis microscopica","Eucapsis","microscopica","Cyanobacterium",294,7683.5772993478
"55","D26","Lower San Joaquin","Lower SJ",2022,2022-06-22,NA,"Cyclotella sp.","Cyclotella","sp.","Centric Diatom",9,202.927611747481
"56","D26","Lower San Joaquin","Lower SJ",2022,2022-06-22,NA,"Gomphonema sp.","Gomphonema","sp.","Pennate Diatom",1,22.5475124163868
"57","D26","Lower San Joaquin","Lower SJ",2022,2022-06-22,NA,"Nitzschia sp.","Nitzschia","sp.","Pennate Diatom",4,90.190049665547
"58","D26","Lower San Joaquin","Lower SJ",2022,2022-06-22,NA,"Staurosira cf. venter","Staurosira","venter","Pennate Diatom",1,22.5475124163868
"59","D26","Lower San Joaquin","Lower SJ",2022,2022-06-22,NA,"Drepanochloris nannoselene","Drepanochloris","nannoselene","Green Alga",4,90.190049665547
"60","D26","Lower San Joaquin","Lower SJ",2022,2022-06-22,NA,"Monoraphidium minutum","Monoraphidium","minutum","Green Alga",1,22.5475124163868
"61","D26","Lower San Joaquin","Lower SJ",2022,2022-06-22,NA,"Plagioselmis nannoplanctica","Plagioselmis","nannoplanctica","Cryptophyte",23,518.592785576895
"62","D26","Lower San Joaquin","Lower SJ",2022,2022-06-22,NA,"Teleaulax amphioxeia","Teleaulax","amphioxeia","Cryptophyte",16,360.760198662188
"63","D26","Lower San Joaquin","Lower SJ",2022,2022-06-22,NA,"Eucapsis microscopica","Eucapsis","microscopica","Cyanobacterium",341,7688.70173398788
"64","NZ068","Lower Sacramento","Lower Sac",2022,2022-06-23,NA,"Cocconeis sp.","Cocconeis","sp.","Pennate Diatom",4,175.226382207349
"65","NZ068","Lower Sacramento","Lower Sac",2022,2022-06-23,NA,"cf. Cyclotella sp.","Cyclotella","sp.","Centric Diatom",4,175.226382207349
"66","NZ068","Lower Sacramento","Lower Sac",2022,2022-06-23,NA,"Entomoneis sp.","Entomoneis","sp.","Pennate Diatom",1,43.8065955518371
"67","NZ068","Lower Sacramento","Lower Sac",2022,2022-06-23,NA,"Melosira varians","Melosira","varians","Centric Diatom",1,43.8065955518371
"68","NZ068","Lower Sacramento","Lower Sac",2022,2022-06-23,NA,"Navicula sp.","Navicula","sp.","Pennate Diatom",2,87.6131911036743
"69","NZ068","Lower Sacramento","Lower Sac",2022,2022-06-23,NA,"cf. Chlorella sp.","Chlorella","sp.","Green Alga",1,43.8065955518371
"70","NZ068","Lower Sacramento","Lower Sac",2022,2022-06-23,NA,"Monoraphidium sp.","Monoraphidium","sp.","Green Alga",1,43.8065955518371
"71","NZ068","Lower Sacramento","Lower Sac",2022,2022-06-23,NA,"Cryptomonas sp.","Cryptomonas","sp.","Cryptophyte",8,350.452764414697
"72","NZ068","Lower Sacramento","Lower Sac",2022,2022-06-23,NA,"Plagioselmis nannoplanctica","Plagioselmis","nannoplanctica","Cryptophyte",12,525.679146622046
"73","NZ068","Lower Sacramento","Lower Sac",2022,2022-06-23,NA,"Eucapsis microscopica","Eucapsis","microscopica","Cyanobacterium",368,16120.8271630761
"74","D22","Lower Sacramento","Lower Sac",2022,2022-06-23,NA,"Cyclotella sp.","Cyclotella","sp.","Centric Diatom",12,541.140297993282
"75","D22","Lower Sacramento","Lower Sac",2022,2022-06-23,NA,"Nitzschia sp.","Nitzschia","sp.","Pennate Diatom",2,90.190049665547
"76","D22","Lower Sacramento","Lower Sac",2022,2022-06-23,NA,"Skeletonema sp.","Skeletonema","sp.","Centric Diatom",4,180.380099331094
"77","D22","Lower Sacramento","Lower Sac",2022,2022-06-23,NA,"Chlamydomonas sp.","Chlamydomonas","sp.","Green Alga",2,90.190049665547
"78","D22","Lower Sacramento","Lower Sac",2022,2022-06-23,NA,"Ochromonas sp.","Ochromonas","sp.","Chrysophyte",1,45.0950248327735
"79","D22","Lower Sacramento","Lower Sac",2022,2022-06-23,NA,"Plagioselmis nannoplanctica","Plagioselmis","nannoplanctica","Cryptophyte",17,766.61542215715
"80","D22","Lower Sacramento","Lower Sac",2022,2022-06-23,NA,"Teleaulax amphioxeia","Teleaulax","amphioxeia","Cryptophyte",6,270.570148996641
"81","D22","Lower Sacramento","Lower Sac",2022,2022-06-23,NA,"Eucapsis microscopica","Eucapsis","microscopica","Cyanobacterium",362,16324.398989464
"82","D4","Lower Sacramento","Lower Sac",2022,2022-06-23,NA,"Cocconeis sp.","Cocconeis","sp.","Pennate Diatom",1,85.1794913507944
"83","D4","Lower Sacramento","Lower Sac",2022,2022-06-23,NA,"cf. Cyclotella sp.","Cyclotella","sp.","Centric Diatom",2,170.358982701589
"84","D4","Lower Sacramento","Lower Sac",2022,2022-06-23,NA,"Entomoneis sp.","Entomoneis","sp.","Pennate Diatom",2,170.358982701589
"85","D4","Lower Sacramento","Lower Sac",2022,2022-06-23,NA,"Nitzschia sp.","Nitzschia","sp.","Pennate Diatom",1,85.1794913507944
"86","D4","Lower Sacramento","Lower Sac",2022,2022-06-23,NA,"Cryptomonas sp.","Cryptomonas","sp.","Cryptophyte",1,85.1794913507944
"87","D4","Lower Sacramento","Lower Sac",2022,2022-06-23,NA,"Plagioselmis nannoplanctica","Plagioselmis","nannoplanctica","Cryptophyte",2,170.358982701589
"88","D4","Lower Sacramento","Lower Sac",2022,2022-06-23,NA,"Eucapsis microscopica","Eucapsis","microscopica","Cyanobacterium",395,33645.8990835638
"89","C9","Southern Delta","South Delta",2022,2022-07-18,NA,"Cocconeis placentula","Cocconeis","placentula","Pennate Diatom",3,107.805293740849
"90","C9","Southern Delta","South Delta",2022,2022-07-18,NA,"Cyclotella sp.","Cyclotella","sp.","Centric Diatom",5,179.675489568082
"91","C9","Southern Delta","South Delta",2022,2022-07-18,NA,"Encyonema sp.","Encyonema","sp.","Pennate Diatom",1,35.9350979136164
"92","C9","Southern Delta","South Delta",2022,2022-07-18,NA,"Nitzschia sp.","Nitzschia","sp.","Pennate Diatom",2,71.8701958272328
"93","C9","Southern Delta","South Delta",2022,2022-07-18,NA,"Skeletonema sp.","Skeletonema","sp.","Centric Diatom",5,179.675489568082
"94","C9","Southern Delta","South Delta",2022,2022-07-18,NA,"Ankistrodesmus sp.","Ankistrodesmus","sp.","Green Alga",1,35.9350979136164
"95","C9","Southern Delta","South Delta",2022,2022-07-18,NA,"Drepanochloris nannoselene","Drepanochloris","nannoselene","Green Alga",16,574.961566617862
"96","C9","Southern Delta","South Delta",2022,2022-07-18,NA,"Lagerheimia genevensis","Lagerheimia","genevensis","Green Alga",1,35.9350979136164
"97","C9","Southern Delta","South Delta",2022,2022-07-18,NA,"Monoraphidium sp.","Monoraphidium","sp.","Green Alga",4,143.740391654466
"98","C9","Southern Delta","South Delta",2022,2022-07-18,NA,"Plagioselmis nannoplanctica","Plagioselmis","nannoplanctica","Cryptophyte",8,287.480783308931
"99","C9","Southern Delta","South Delta",2022,2022-07-18,NA,"Dolichospermum sp.","Dolichospermum","sp.","Cyanobacterium",15,539.026468704246
"100","C9","Southern Delta","South Delta",2022,2022-07-18,NA,"Eucapsis microscopica","Eucapsis","microscopica","Cyanobacterium",239,8588.48840135432
"101","C9","Southern Delta","South Delta",2022,2022-07-18,NA,"cf. Microcystis sp.","Microcystis","sp.","Cyanobacterium",100,3593.50979136164
"102","C9","Southern Delta","South Delta",2022,2022-07-18,NA,"Pseudanabaena sp.","Pseudanabaena","sp.","Cyanobacterium",13,467.156272877013
"103","C9","Southern Delta","South Delta",2022,2022-07-18,NA,"Trachelomonas sp.","Trachelomonas","sp.","Euglenoid",1,35.9350979136164
"104","D28A","Old and Middle river","OMR",2022,2022-07-19,NA,"Cocconeis sp.","Cocconeis","sp.","Pennate Diatom",3,123.206049989542
"105","D28A","Old and Middle river","OMR",2022,2022-07-19,NA,"cf. Cyclotella sp.","Cyclotella","sp.","Centric Diatom",5,205.343416649237
"106","D28A","Old and Middle river","OMR",2022,2022-07-19,NA,"Cryptomonas sp.","Cryptomonas","sp.","Cryptophyte",4,164.274733319389
"107","D28A","Old and Middle river","OMR",2022,2022-07-19,NA,"Plagioselmis nannoplanctica","Plagioselmis","nannoplanctica","Cryptophyte",6,246.412099979084
"108","D28A","Old and Middle river","OMR",2022,2022-07-19,NA,"cf. Aphanocapsa sp.","Aphanocapsa","sp.","Cyanobacterium",1,41.0686833298473
"109","D28A","Old and Middle river","OMR",2022,2022-07-19,NA,"Chroococcus sp.","Chroococcus","sp.","Cyanobacterium",1,41.0686833298473
"110","D28A","Old and Middle river","OMR",2022,2022-07-19,NA,"Dolichospermum spp.","Dolichospermum","spp.","Cyanobacterium",24,985.648399916335
"111","D28A","Old and Middle river","OMR",2022,2022-07-19,NA,"Eucapsis microscopica","Eucapsis","microscopica","Cyanobacterium",358,14702.5886320853
"112","D28A","Old and Middle river","OMR",2022,2022-07-19,NA,"cf. Microcystis sp.","Microcystis","sp.","Cyanobacterium",1,41.0686833298473
"113","D19","Franks Tract","Franks",2022,2022-07-19,NA,"Cocconeis placentula","Cocconeis","placentula","Pennate Diatom",1,18.5471473102536
"114","D19","Franks Tract","Franks",2022,2022-07-19,NA,"Cyclotella sp.","Cyclotella","sp.","Centric Diatom",6,111.282883861522
"115","D19","Franks Tract","Franks",2022,2022-07-19,NA,"Nitzschia sp.","Nitzschia","sp.","Pennate Diatom",2,37.0942946205072
"116","D19","Franks Tract","Franks",2022,2022-07-19,NA,"Ulnaria sp.","Ulnaria","sp.","Pennate Diatom",1,18.5471473102536
"117","D19","Franks Tract","Franks",2022,2022-07-19,NA,"Chlorella sp.","Chlorella","sp.","Green Alga",6,111.282883861522
"118","D19","Franks Tract","Franks",2022,2022-07-19,NA,"Drepanochloris nannoselene","Drepanochloris","nannoselene","Green Alga",2,37.0942946205072
"119","D19","Franks Tract","Franks",2022,2022-07-19,NA,"Monoraphidium contortum","Monoraphidium","contortum","Green Alga",1,18.5471473102536
"120","D19","Franks Tract","Franks",2022,2022-07-19,NA,"cf. Ochromonas sp.","Ochromonas","sp.","Chrysophyte",4,74.1885892410145
"121","D19","Franks Tract","Franks",2022,2022-07-19,NA,"Plagioselmis nannoplanctica","Plagioselmis","nannoplanctica","Cryptophyte",30,556.414419307609
"122","D19","Franks Tract","Franks",2022,2022-07-19,NA,"Teleaulax amphioxeia","Teleaulax","amphioxeia","Cryptophyte",16,296.754356964058
"123","D19","Franks Tract","Franks",2022,2022-07-19,NA,"Dolichospermum sp.","Dolichospermum","sp.","Cyanobacterium",2,37.0942946205072
"124","D19","Franks Tract","Franks",2022,2022-07-19,NA,"Eucapsis microscopica","Eucapsis","microscopica","Cyanobacterium",308,5712.52137155812
"125","D19","Franks Tract","Franks",2022,2022-07-19,NA,"Merismopedia sp.","Merismopedia","sp.","Cyanobacterium",1,18.5471473102536
"126","D19","Franks Tract","Franks",2022,2022-07-19,NA,"Microcystis sp.","Microcystis","sp.","Cyanobacterium",22,408.03724082558
"127","D12","Lower San Joaquin","Lower SJ",2022,2022-07-19,NA,"Bacillaria paxillifera","Bacillaria","paxillifera","Pennate Diatom",1,53.6583657853385
"128","D12","Lower San Joaquin","Lower SJ",2022,2022-07-19,NA,"Cocconeis sp.","Cocconeis","sp.","Pennate Diatom",1,53.6583657853385
"129","D12","Lower San Joaquin","Lower SJ",2022,2022-07-19,NA,"Cylindrotheca closterium","Cylindrotheca","closterium","Pennate Diatom",1,53.6583657853385
"130","D12","Lower San Joaquin","Lower SJ",2022,2022-07-19,NA,"Nitzschia sp.","Nitzschia","sp.","Pennate Diatom",1,53.6583657853385
"131","D12","Lower San Joaquin","Lower SJ",2022,2022-07-19,NA,"cf. Sellaphora sp.","Sellaphora","sp.","Pennate Diatom",1,53.6583657853385
"132","D12","Lower San Joaquin","Lower SJ",2022,2022-07-19,NA,"Skeletonema sp.","Skeletonema","sp.","Centric Diatom",4,214.633463141354
"133","D12","Lower San Joaquin","Lower SJ",2022,2022-07-19,NA,"Chlorella sp.","Chlorella","sp.","Green Alga",1,53.6583657853385
"134","D12","Lower San Joaquin","Lower SJ",2022,2022-07-19,NA,"Cryptomonas sp.","Cryptomonas","sp.","Cryptophyte",2,107.316731570677
"135","D12","Lower San Joaquin","Lower SJ",2022,2022-07-19,NA,"Plagioselmis lacustris","Plagioselmis","lacustris","Cryptophyte",3,160.975097356016
"136","D12","Lower San Joaquin","Lower SJ",2022,2022-07-19,NA,"Plagioselmis nannoplanctica","Plagioselmis","nannoplanctica","Cryptophyte",4,214.633463141354
"137","D12","Lower San Joaquin","Lower SJ",2022,2022-07-19,NA,"Chroococcus sp.","Chroococcus","sp.","Cyanobacterium",1,53.6583657853385
"138","D12","Lower San Joaquin","Lower SJ",2022,2022-07-19,NA,"Eucapsis microscopica","Eucapsis","microscopica","Cyanobacterium",394,21141.3961194234
"139","D12","Lower San Joaquin","Lower SJ",2022,2022-07-19,NA,"cf. Microcystis sp.","Microcystis","sp.","Cyanobacterium",1,53.6583657853385
"140","D12","Lower San Joaquin","Lower SJ",2022,2022-07-19,NA,"Euglena sp.","Euglena","sp.","Euglenoid",1,53.6583657853385
"141","D16","Lower San Joaquin","Lower SJ",2022,2022-07-20,NA,"Aulacoseira sp.","Aulacoseira","sp.","Centric Diatom",1,38.3307711078575
"142","D16","Lower San Joaquin","Lower SJ",2022,2022-07-20,NA,"Cocconeis placentula","Cocconeis","placentula","Pennate Diatom",1,38.3307711078575
"143","D16","Lower San Joaquin","Lower SJ",2022,2022-07-20,NA,"cf. Cyclotella sp.","Cyclotella","sp.","Centric Diatom",7,268.315397755002
"144","D16","Lower San Joaquin","Lower SJ",2022,2022-07-20,NA,"Nitzschia sp.","Nitzschia","sp.","Pennate Diatom",2,76.661542215715
"145","D16","Lower San Joaquin","Lower SJ",2022,2022-07-20,NA,"Cryptomonas sp.","Cryptomonas","sp.","Cryptophyte",1,38.3307711078575
"146","D16","Lower San Joaquin","Lower SJ",2022,2022-07-20,NA,"Plagioselmis nannoplanctica","Plagioselmis","nannoplanctica","Cryptophyte",3,114.992313323572
"147","D16","Lower San Joaquin","Lower SJ",2022,2022-07-20,NA,"Eucapsis microscopica","Eucapsis","microscopica","Cyanobacterium",376,14412.3699365544
"148","D16","Lower San Joaquin","Lower SJ",2022,2022-07-20,NA,"cf. Microcystis sp.","Microcystis","sp.","Cyanobacterium",20,766.61542215715
"149","D26","Lower San Joaquin","Lower SJ",2022,2022-07-20,NA,"Cocconeis placentula","Cocconeis","placentula","Pennate Diatom",1,25.5538474052383
"150","D26","Lower San Joaquin","Lower SJ",2022,2022-07-20,NA,"Cyclotella sp.","Cyclotella","sp.","Centric Diatom",9,229.984626647145
"151","D26","Lower San Joaquin","Lower SJ",2022,2022-07-20,NA,"Encyonema sp.","Encyonema","sp.","Pennate Diatom",1,25.5538474052383
"152","D26","Lower San Joaquin","Lower SJ",2022,2022-07-20,NA,"Monoraphidium sp.","Monoraphidium","sp.","Green Alga",3,76.661542215715
"153","D26","Lower San Joaquin","Lower SJ",2022,2022-07-20,NA,"Plagioselmis nannoplanctica","Plagioselmis","nannoplanctica","Cryptophyte",39,996.600048804295
"154","D26","Lower San Joaquin","Lower SJ",2022,2022-07-20,NA,"Teleaulax amphioxeia","Teleaulax","amphioxeia","Cryptophyte",21,536.630795510005
"155","D26","Lower San Joaquin","Lower SJ",2022,2022-07-20,NA,"Dolichospermum sp.","Dolichospermum","sp.","Cyanobacterium",16,408.861558483813
"156","D26","Lower San Joaquin","Lower SJ",2022,2022-07-20,NA,"Eucapsis microscopica","Eucapsis","microscopica","Cyanobacterium",281,7180.63112087197
"157","D26","Lower San Joaquin","Lower SJ",2022,2022-07-20,NA,"cf. Microcystis sp.","Microcystis","sp.","Cyanobacterium",35,894.384659183342
"158","NZ068","Lower Sacramento","Lower Sac",2022,2022-07-21,NA,"cf. Cyclotella sp.","Cyclotella","sp.","Centric Diatom",12,463.834541137099
"159","NZ068","Lower Sacramento","Lower Sac",2022,2022-07-21,NA,"Entomoneis sp.","Entomoneis","sp.","Pennate Diatom",1,38.6528784280916
"160","NZ068","Lower Sacramento","Lower Sac",2022,2022-07-21,NA,"Fragilaria sp.","Fragilaria","sp.","Pennate Diatom",1,38.6528784280916
"161","NZ068","Lower Sacramento","Lower Sac",2022,2022-07-21,NA,"Nitzschia sp.","Nitzschia","sp.","Pennate Diatom",4,154.611513712366
"162","NZ068","Lower Sacramento","Lower Sac",2022,2022-07-21,NA,"Skeletonema sp.","Skeletonema","sp.","Centric Diatom",1,38.6528784280916
"163","NZ068","Lower Sacramento","Lower Sac",2022,2022-07-21,NA,"Cryptomonas sp.","Cryptomonas","sp.","Cryptophyte",3,115.958635284275
"164","NZ068","Lower Sacramento","Lower Sac",2022,2022-07-21,NA,"Plagioselmis nannoplanctica","Plagioselmis","nannoplanctica","Cryptophyte",7,270.570148996641
"165","NZ068","Lower Sacramento","Lower Sac",2022,2022-07-21,NA,"Chroococcus sp.","Chroococcus","sp.","Cyanobacterium",1,38.6528784280916
"166","NZ068","Lower Sacramento","Lower Sac",2022,2022-07-21,NA,"Eucapsis microscopica","Eucapsis","microscopica","Cyanobacterium",366,14146.9535046815
"167","NZ068","Lower Sacramento","Lower Sac",2022,2022-07-21,NA,"Merismopedia sp.","Merismopedia","sp.","Cyanobacterium",1,38.6528784280916
"168","NZ068","Lower Sacramento","Lower Sac",2022,2022-07-21,NA,"cf. Microcystis sp.","Microcystis","sp.","Cyanobacterium",5,193.264392140458
"169","D4","Lower Sacramento","Lower Sac",2022,2022-07-21,NA,"Cyclotella sp.","Cyclotella","sp.","Centric Diatom",6,235.881668356046
"170","D4","Lower Sacramento","Lower Sac",2022,2022-07-21,NA,"Diatoma sp.","Diatoma","sp.","Pennate Diatom",1,39.3136113926744
"171","D4","Lower Sacramento","Lower Sac",2022,2022-07-21,NA,"Gyrosigma sp.","Gyrosigma","sp.","Pennate Diatom",3,117.940834178023
"172","D4","Lower Sacramento","Lower Sac",2022,2022-07-21,NA,"Nitzschia sp.","Nitzschia","sp.","Pennate Diatom",2,78.6272227853487
"173","D4","Lower Sacramento","Lower Sac",2022,2022-07-21,NA,"Plagioselmis nannoplanctica","Plagioselmis","nannoplanctica","Cryptophyte",8,314.508891141395
"174","D4","Lower Sacramento","Lower Sac",2022,2022-07-21,NA,"Teleaulax amphioxeia","Teleaulax","amphioxeia","Cryptophyte",11,432.449725319418
"175","D4","Lower Sacramento","Lower Sac",2022,2022-07-21,NA,"Eucapsis microscopica","Eucapsis","microscopica","Cyanobacterium",375,14742.6042722529
"176","D22","Lower Sacramento","Lower Sac",2022,2022-07-24,NA,"Cocconeis sp.","Cocconeis","sp.","Pennate Diatom",1,90.190049665547
"177","D22","Lower Sacramento","Lower Sac",2022,2022-07-24,NA,"cf. Cyclotella sp.","Cyclotella","sp.","Centric Diatom",4,360.760198662188
"178","D22","Lower Sacramento","Lower Sac",2022,2022-07-24,NA,"Skeletonema sp.","Skeletonema","sp.","Centric Diatom",1,90.190049665547
"179","D22","Lower Sacramento","Lower Sac",2022,2022-07-24,NA,"Plagioselmis nannoplanctica","Plagioselmis","nannoplanctica","Cryptophyte",4,360.760198662188
"180","D22","Lower Sacramento","Lower Sac",2022,2022-07-24,NA,"Eucapsis microscopica","Eucapsis","microscopica","Cyanobacterium",395,35625.0696178911
"181","D22","Lower Sacramento","Lower Sac",2022,2022-07-24,NA,"cf. Microcystis sp.","Microcystis","sp.","Cyanobacterium",2,180.380099331094
"182","C3A","Upper Sacramento","Upper Sac",2014,2014-01-07,2014-01-07 10:30:00,"Achnanthidium minutissimum","Achnanthidium",NA,"Pennate Diatom",2,182.09
